Doc_i;ID_i;Doc_j;ID_j;Cosine Similarity
647;174492;2936;67974;0,5530171
647;174492;3321;107880;0,6562393
647;174492;3334;108928;0,5231712
648;174633;2338;32259;0,5261899
648;174633;3427;123344;0,5341689
662;177533;3288;104250;0,565568
662;177533;3395;119413;0,6294667
665;178046;666;178047;0,7918509
665;178046;1434;21218;0,5014132
665;178046;1582;32221;0,5062046
671;178474;3109;86078;0,5117089
690;180349;2533;38832;0,5266128
691;180360;928;216878;0,5639092
691;180360;3526;134398;0,5929487
691;180360;3677;153854;0,504598
691;180360;3969;199123;0,5891148
697;180864;703;182091;0,5335484
701;181963;1837;154743;0,5891389
703;182091;1636;38615;0,51509
703;182091;2516;37946;0,5175442
703;182091;2939;68083;0,513725
713;183323;3121;87735;0,5298733
723;185196;3930;194716;0,5387096
726;185488;3422;123010;0,5297086
735;186374;2939;68083;0,5136639
736;186377;3872;185557;0,5064608
748;187542;1364;19077;0,5110626
748;187542;1438;21255;0,5495028
753;188207;2426;35597;0,5102912
755;188315;1881;217332;0,5034211
755;188315;3927;194344;0,5463416
822;200765;960;222689;0,5479509
822;200765;961;222690;0,6538866
822;200765;3546;136255;0,5205098
822;200765;3634;149071;0,7325768
822;200765;3797;172599;0,6440961
822;200765;4019;204221;0,668567
823;200806;3120;87536;0,5468453
824;200807;836;202757;0,575591
824;200807;3287;104204;0,5204879
824;200807;3328;108365;0,5130227
824;200807;3354;113632;0,5257658
824;200807;3376;117980;0,526928
824;200807;3742;163323;0,6017398
824;200807;3849;182446;0,519334
834;202565;3476;127810;0,5238357
834;202565;3540;135747;0,5486274
836;202757;3287;104204;0,5320854
836;202757;3742;163323;0,6159174
836;202757;3849;182446;0,5345839
841;203602;2551;40055;0,5322275
844;203979;3660;152311;0,5438907
845;204023;1283;15448;0,5060291
848;204361;958;222666;0,5249722
860;206480;1589;33196;0,5138639
860;206480;1830;149252;0,5488924
860;206480;2292;29856;0,5636474
860;206480;2411;35577;0,5460652
860;206480;2856;61776;0,5856341
860;206480;3036;76759;0,5979636
860;206480;3630;148771;0,5843901
860;206480;3663;152484;0,5345251
876;208915;3728;161303;0,5259425
